t1_name,t1_youth,t1_sptnum_formula,t1_ra_today_formula,t1_dec_today_formula,data_release,dateobs,dec,instrument,ra,specid,specprimary,spectype,telescope,dist_arcsec
HIP 76456B,N,6.5,234.2348,29.9918,DESI-DR1,"[""2022-05-13 07:58:28.908"",""2022-05-13 07:58:28.908""]",29.99186799105259,DESI,234.2346325020536,39628481516013260,1,STAR,kp4m,0.5767635641375682
SDSS J153721.97+140507.5,N,10,234.3415,14.085,BOSS-DR16,"[""2011-06-29 03:35:56"",""2011-06-29 03:35:56""]",14.085243,BOSS,234.34155,5505797425582067712,1,STAR,sloan25m,0.8920516408049991
SDSS J154050.74+503324.4,N,10,235.2109,50.5573,SDSS-DR16,"[""2002-05-05 00:00:00"",""2002-05-05 00:00:00""]",50.556789,SDSS,235.21145,896275464878843904,1,STAR,sloan25m,2.228558641278768
SDSS J154343.92-014737.3,N,10,235.933,-1.7937,SDSS-DR16,"[""2002-05-18 00:00:00"",""2002-05-18 00:00:00""]",-1.7936953,SDSS,235.93302,1042616339568551936,1,STAR,sloan25m,0.07392704123252114
SDSS J154501.09+033714.3,N,10,236.2542,3.6205,SDSS-DR16,"[""2001-04-28 00:00:00"",""2001-04-28 00:00:00""]",3.6206469,SDSS,236.25456,668910747631249408,0,STAR,sloan25m,1.3973509954439631
SDSS J154502.87+061807.8,N,14,236.2613,6.3019,SDSS-DR16,"[""2004-06-11 00:00:00"",""2004-06-11 00:00:00""]",6.302173,SDSS,236.262,2050400672691546112,1,STAR,sloan25m,2.690683462634236
2MASS J15460540+3749458,N,7.5,236.5223,37.8287,DESI-DR1,"[""2021-06-20 05:15:11.524"",""2021-06-20 05:15:11.524""]",37.8294,DESI,236.5225,2377183221776384,1,STAR,kp4m,2.583371015754063
SDSS J154625.94+160917.9,N,10,236.6085,16.1542,BOSS-DR16,"[""2010-05-21 08:11:46"",""2010-05-21 08:11:46""]",16.154711,BOSS,236.60821,4427074257374433280,1,STAR,sloan25m,2.095159066746123
SDSS J154628.38+253634.3,N,11,236.6162,25.6102,BOSS-DR16,"[""2010-05-16 07:10:36"",""2010-05-16 07:10:36""]",25.6098,BOSS,236.61743,4444182658218741760,0,STAR,sloan25m,4.244701728810292
SDSS J154727.23+033636.3,N,12,236.8627,3.6102,SDSS-DR16,"[""2001-05-16 00:00:00"",""2001-05-16 00:00:00""]",3.6100855,SDSS,236.86347,668947306694862848,1,STAR,sloan25m,2.7970389454073388
SDSS J154849.02+172235.4,N,15,237.2029,17.376,SDSS-DR16,"[""2006-05-20 00:00:00"",""2006-05-20 00:00:00""]",17.376493,SDSS,237.20424,2443289449400920064,1,STAR,sloan25m,4.934103519757517
SDSS J154854.89+281404.7,N,10,237.2288,28.2345,BOSS-DR16,"[""2011-05-31 06:58:55"",""2011-05-31 06:58:55""]",28.234626,BOSS,237.2287,5321083319919857664,1,STAR,sloan25m,0.553486755763611
SDSS J154910.12+551203.2,N,13,237.2928,55.2005,BOSS-DR16,"[""2018-05-11 08:20:00"",""2018-05-11 08:20:00""]",55.200894,BOSS,237.29216,-8967535608761921536,1,STAR,sloan25m,1.9341208124583136
